119,"""RT @queenblackspade: \u0e01\u0e33\u0e25\u0e31\u0e07\u0e2a\u0e07\u0e2a\u0e31\u0e22\u0e27\u0e48\u0e32\u0e15\u0e23.\u0e2b\u0e32\u0e22\u0e44\u0e1b\u0e44\u0e2b\u0e19\u0e17\u0e33\u0e44\u0e21\u0e1b\u0e25\u0e48\u0e2d\u0e22\u0e43\u0e2b\u0e49\u0e40\u0e01\u0e34\u0e14\u0e01\u0e32\u0e23\u0e1b\u0e30\u0e17\u0e30\u0e01\u0e31\u0e19\n\u0e08\u0e32\u0e01\u0e04\u0e25\u0e34\u0e1b\u0e19\u0e35\u0e49\u0e2d\u0e22\u0e39\u0e48\u0e46 \u0e15\u0e23.\u0e01\u0e47\u0e40\u0e1b\u0e34\u0e14\u0e17\u0e32\u0e07\u0e43\u0e2b\u0e49 \u0e40\u0e40\u0e25\u0e49\u0e27\u0e01\u0e47\u0e2b\u0e32\u0e22\u0e44\u0e1b\u0e40\u0e25\u0e22 \n#ThailandProtests\u2026"""
120,"""RT @ErnestoSuidry: Bolivia \ud83d\udea9El fascista Arturo Murillo, hombre fuerte de la Presidenta golpista \u00c1\u00f1ez -a quien apoy\u00f3 gob. Spain- y responsab\u2026"""
121,"""RT @RTultimahora: \u00daLTIMA HORA\n\nPolic\u00eda boliviana confirma la fuga de varios exministros de Jeanine \u00c1\u00f1ez a Brasil y Panam\u00e1 https://t.co/Hwl0\u2026"""
122,"""RT @Mariusz_w36: #Paraguay #Chile #Uruguay #India #Canada #Russia #Honduras #Israel #Guatemala #Puerto #Ecuador #Haiti #Dominican #Bolivia\u2026"""
123,"""RT @AngAngOpilan: \u0e01\u0e32\u0e23\u0e17\u0e35\u0e48\u0e40\u0e14\u0e47\u0e01\u0e46\u0e21.\u0e15\u0e49\u0e19\u0e15\u0e49\u0e2d\u0e07\u0e21\u0e32\u0e42\u0e14\u0e19\u0e41\u0e01\u0e4a\u0e2a\u0e19\u0e49\u0e33\u0e15\u0e32 \u0e01\u0e32\u0e23\u0e17\u0e35\u0e48\u0e2d\u0e35\u0e01\u0e1d\u0e48\u0e32\u0e22\u0e2b\u0e19\u0e36\u0e48\u0e07\u0e40\u0e2d\u0e32\u0e1b\u0e37\u0e19\u0e01\u0e23\u0e30\u0e2a\u0e38\u0e19\u0e21\u0e32\u0e22\u0e34\u0e07 \u0e01\u0e32\u0e23\u0e09\u0e35\u0e14\u0e19\u0e49\u0e33\u0e43\u0e2a\u0e48\u0e1b\u0e23\u0e30\u0e0a\u0e32\u0e0a\u0e19\u0e42\u0e14\u0e19\u0e44\u0e21\u0e48\u0e21\u0e35\u0e01\u0e32\u0e23\u0e40\u0e15\u0e37\u0e2d\u0e19 \u0e19\u0e35\u0e48\u0e2b\u0e23\u0e37\u0e2d\u0e04\u0e37\u0e2d\u0e01\u0e32\u0e23\u0e1b\u2026"""
124,"""RT @presidenciapma: .@Etesatransmite prev\u00e9 para la madrugada de este mi\u00e9rcoles 18:\n\u27a1\ufe0fLluvias continuas de variada intensidad en la Regi\u00f3n O\u2026"""
125,"""RT @Rob_Kimbell: Oops...\n\nhttps://t.co/pxNaxACiO3"""
126,"""#Weather Panama City #Panama: 25\u00b0C; Partly cloudy; Wind: 9 Km/h; \u00a0 https://t.co/fFhTSGLjC4"""
127,"""RT @jeonsflick: \ud83c\uddf5\ud83c\udde6\u26a0\ufe0f Panam\u00e1 necesita ayuda \u26a0\ufe0f \ud83c\uddf5\ud83c\udde6\n\nEn chiriqu\u00ed, tierras altas todo se derrumb\u00f3 y cientos de personas perdieron todo, han fal\u2026"""
128,"""RT @cronicabanqueta: FICHA O CORCHOLATA...\nEl\u00a0tap\u00f3n corona, tambi\u00e9n conocido popularmente en Espa\u00f1a y Sudam\u00e9rica como\u00a0chapa,\u00a0en M\u00e9xico como\u2026"""
129,"""#OnThisDay in 1903 - The Hay-Bunau-Varilla Treaty is signed by the United States and Panama, giving the United Stat\u2026 https://t.co/7GFxvhCUF0"""
130,"""RT @kedeleon: Normalicen usar botas de caucho cuando llueve en Panam\u00e1. Pasamos m\u00e1s meses con lluvias que verano. Bueno yo si uso las mias \ud83d\ude0c"""
